iter	Logloss
0	0.4967047428
1	0.3515529475
2	0.2594940221
3	0.1836504215
4	0.1230296458
5	0.08745760809
6	0.05803017943
7	0.04105689375
8	0.02889814202
9	0.02073764092
10	0.01468147209
11	0.01112568009
12	0.008319201776
13	0.006640390199
14	0.00534333554
15	0.004404456294
16	0.003564639458
17	0.002958858893
18	0.002468306071
19	0.002081165813
20	0.001728756971
21	0.001496545495
22	0.001306490111
23	0.001148657841
24	0.001015771724
25	0.0009041244519
26	0.000811579416
27	0.0007133674685
28	0.0006513643857
29	0.0005761238593
30	0.000512168128
31	0.0004731964127
32	0.0004295254783
33	0.0003946951038
34	0.0003614933857
35	0.0003322382473
36	0.0003068100173
37	0.0002842287311
38	0.0002731898054
39	0.0002565094053
40	0.0002417802532
41	0.0002265303865
42	0.0002140388237
43	0.0002074076773
44	0.0002018818686
45	0.0001917717943
46	0.0001862954988
47	0.0001775564051
48	0.0001708739087
49	0.0001669834577
50	0.0001631651342
51	0.0001594406468
52	0.0001575317753
53	0.0001521884667
54	0.0001503713706
55	0.0001486682144
56	0.0001466779303
57	0.0001416707039
58	0.0001401320683
59	0.0001385008335
60	0.0001368499801
61	0.0001336467811
62	0.0001296016889
63	0.0001268245052
64	0.0001241620496
65	0.0001216146812
66	0.0001191772268
67	0.0001168974814
68	0.0001146149325
69	0.0001146149325
70	0.0001146149325
71	0.0001146126186
72	0.0001146103158
73	0.0001146103158
74	0.0001122673523
75	0.0001122654239
76	0.000109932034
77	0.000107903178
78	0.000107903178
79	0.0001059666603
80	0.0001039277296
81	0.0001029165529
82	0.000101944997
83	0.0001010219729
84	0.0001001161869
85	9.919964848e-05
86	9.827053408e-05
87	9.740006025e-05
88	9.650932144e-05
89	9.560974694e-05
90	9.479067683e-05
91	9.394441922e-05
92	9.315379274e-05
93	9.234392799e-05
94	9.156515454e-05
95	9.080861103e-05
96	9.080861103e-05
97	9.002278239e-05
98	8.927094659e-05
99	8.926959095e-05
100	8.926959095e-05
101	8.926816159e-05
102	8.926816159e-05
103	8.926680573e-05
104	8.926680573e-05
105	8.85116904e-05
106	8.85116904e-05
107	8.85116904e-05
108	8.85116904e-05
109	8.85116904e-05
110	8.85116904e-05
111	8.851028664e-05
112	8.851028664e-05
113	8.851028664e-05
114	8.851028664e-05
115	8.851028664e-05
116	8.851028664e-05
117	8.850787769e-05
118	8.850787769e-05
119	8.77468449e-05
120	8.77468449e-05
121	8.77468449e-05
122	8.77468449e-05
123	8.77468449e-05
124	8.699525854e-05
125	8.699255482e-05
126	8.699255482e-05
127	8.699120224e-05
128	8.699120224e-05
129	8.699120224e-05
130	8.699120224e-05
131	8.698987475e-05
132	8.698987475e-05
133	8.69884718e-05
134	8.698575018e-05
135	8.698307413e-05
136	8.698178231e-05
137	8.698047641e-05
138	8.697912806e-05
139	8.697778771e-05
140	8.697512852e-05
141	8.697247253e-05
142	8.697108565e-05
143	8.697108565e-05
144	8.697108565e-05
145	8.697108565e-05
146	8.696979133e-05
147	8.696722469e-05
148	8.696592878e-05
149	8.696592878e-05
150	8.696592878e-05
151	8.696459052e-05
152	8.696330511e-05
153	8.696330511e-05
154	8.696189973e-05
155	8.695915249e-05
156	8.695660901e-05
157	8.616447995e-05
158	8.616447995e-05
159	8.616322143e-05
160	8.616322143e-05
161	8.616322143e-05
162	8.616322143e-05
163	8.616322143e-05
164	8.616322143e-05
165	8.616322143e-05
